接吻;接吻[せっぷん]
口吻;口吻[こうふん]
吃る;吃[ども]る
吃驚;吃驚[びっくり]
吃逆;吃逆[しゃっくり]
噺;噺[はなし]
味噌;味噌[みそ]
邑;邑
呆ける;呆[ぼ]ける
呆れる;呆[あき]れる
痴呆;痴呆[ちほう]
阿呆;阿呆[あほ]
喰う;喰[く]う
埴生;埴生[はぶ]
埴輪;埴輪[はにわ]
坤;坤[ひつじさる]
壕;壕[ごう]
垢;垢[あか]
垢すり;垢[あか]すり
無垢;無垢[むく]
坦々;坦々[たんたん]
平坦;平坦[へいたん]
坦懐;坦懐[たんかい]
埠頭;埠頭[ふとう]
堰;堰[せき]
堰堤;堰堤[えんてい]
安堵;安堵[あんど]
嬰;嬰[えい]
嬰児;嬰児[えいじ]
姦しい;姦[かしま]しい
強姦;強姦[ごうかん]
姦通;姦通[かんつう]
近親相姦;近親[きんしん] 相姦[そうかん]
婢;婢[ひ]
婉曲;婉曲[えんきょく]
優婉;優婉[ゆうえん]
婉然;婉然[えんぜん]
娼婦;娼婦[しょうふ]
妓;妓[ぎ]
娃鬟;娃鬟[あいかん]
姪;姪[めい]
姪御;姪[めい] 御[ご]
姪っ子;姪[めい]っ 子[こ]
吾嬬;吾嬬[あずま]
姥;姥[うば]
山姥;山姥[やまうば]
姑;姑[しゅうとめ]
姐;姐[あね]
お姐さん;お 姐[ねえ]さん
嬉しい;嬉[うれ]しい
嬉々;嬉々[きき]
孕む;孕[はら]む
孜々;孜々[しし]
孜々として;孜々[しし]として
孜々営々;孜々[しし] 営々[えいえい]
宥める;宥[なだ]める
宥和;宥和[ゆうわ]
寓する;寓[ぐう]する
仮寓;仮寓[かぐう]
寓意;寓意[ぐうい]
寓話;寓話[ぐうわ]
寓言;寓言[ぐうげん]
宏遠;宏遠[こうえん]
牢;牢[ろう]
牢屋;牢屋[ろうや]
牢固;牢固[ろうこ]
牢獄;牢獄[ろうごく]
宋;宋[そう]
宍;宍[しし]
屠る;屠[ほふ]る
屠殺;屠殺[とさつ]
屠所;屠所[としょ]
お屠蘇;お 屠蘇[とそ]
屁;屁[おなら]
寝っ屁;寝[ね]っ 屁[っぺ]
最後屁;最後[さいご] 屁[べ]
屑;屑[くず]
紙屑;紙屑[かみくず]
屑入れ;屑[くず] 入[い]れ
屑かご;屑[くず]かご
屡;屡[しばしば]
屍;屍[し・しかばね]
死屍;死屍[しし]
死屍累々;死屍[しし] 累々[るいるい]
屏;屏[へい]
屏風;屏風[びょうぶ]
金屏風;金[きん] 屏風[びょうぶ]
嵩;嵩[かさ]
崚;崚[りょう]
峨峨;峨峨[がが]
嶺;嶺[みね]
高嶺;高嶺[たかね]
嵌める;嵌[は]める
嵌まる;嵌[は]まる
嵯峨;嵯峨[さが]
帖;帖[じょう]
一帖;一帖[いちじょう]
手帖;手帖[てちょう]
幡;幡[はた]
幟;幟[のぼり]
鯉幟;鯉幟[こいのぼり]
庖丁(thesedays包丁);庖丁[ほうちょう] (these days 包丁)
庖厨;庖厨[ほうちゅう]
廓;廓[くるわ]
遊廓;遊廓[ゆうかく]
庇う;庇[かば]う
庇護;庇護[ひご]
鷹;鷹[たか]
