厳しい;厳[きび]しい
告白;告白[こくはく]
周り;周[まわ]り
周期;周期[しゅうき]
周辺;周辺[しゅうへん]
呪い;呪[のろ]い
呪う;呪[のろ]う
味;味[あじ]
意味;意味[いみ]
気味;気味[ぎみ]
美味しい;美味[おい]しい
不味い;不味[まず]い
呼ぶ;呼[よ]ぶ
呼吸;呼吸[こきゅう]
命令;命令[めいれい]
号令;号令[ごうれい]
和む;和[なご]む
平和;平和[へいわ]
和製英語;和製英語[わせいえいご]
英和;英和[えいわ]
緩和;緩和[かんわ]
咲く;咲[さ]く
咽る;咽[むせ]る
咽ぶ;咽[むせ]ぶ
咽喉;咽喉[いんこう]
咽頭;咽頭[いんとう]
哀しい;哀[かな]しい
哀れ;哀[あわ]れ
可哀想;可哀想[かわいそう]
哀愁;哀愁[あいしゅう]
哀愁;哀愁[あいしゅう]
郷愁;郷愁[きょうしゅう]
哲学;哲学[てつがく]
哲人;哲人[てつじん]
哺乳;哺乳[ほにゅう]
唄う;唄[うた]う
唆す;唆[そそのか]す
示唆;示唆[しさ]
唇;唇[くちびる]
唐;唐[とう]
唐突;唐突[とうとつ]
唐辛子;唐辛子[とうがらし]
唯;唯[ただ]
唯一;唯一[ゆいいつ]
唱える;唱[とな]える
合唱;合唱[がっしょう]
歌唱;歌唱[かしょう]
提唱;提唱[ていしょう]
唾;唾[つば]
商う;商[あきな]う
商売;商売[しょうばい]
問う;問[と]う
問い合わせ;問い合[といあ]わせ
質問;質問[しつもん]
疑問;疑問[ぎもん]
訪問;訪問[ほうもん]
問題;問題[もんだい]
詰問;詰問[きつもん]
諮問;諮問[しもん]
拷問;拷問[ごうもん]
弔問;弔問[ちょうもん]
喚問;喚問[かんもん]
尋問;尋問[じんもん]
卸問屋;卸問屋[おろしどんや]
啓発;啓発[けいはつ]
啓蒙;啓蒙[けいもう]
啓示;啓示[けいじ]
拝啓;拝啓[はいけい]
善;善[ぜん]
改善;改善[かいぜん]
善悪;善悪[ぜんあく]
善良;善良[ぜんりょう]
善し悪し;善し悪[よしあ]し
勧善懲悪;勧善懲悪[かんぜんちょうあく]
喉;喉[のど]
喚く;喚[わめ]く
喚問;喚問[かんもん]
喚起;喚起[かんき]
召喚;召喚[しょうかん]
召喚状;召喚状[しょうかんじょう]
喜ぶ;喜[よろこ]ぶ
歓喜;歓喜[かんき]
喜劇;喜劇[きげき]
喜怒哀楽;喜怒哀楽[きどあいらく]
一喜一憂;一喜一憂[いっきいちゆう]
喪;喪[も]
喪服;喪服[もふく]
喪失;喪失[そうしつ]
喪章;喪章[もしょう]
喫する;喫[きっ]する
喫茶店;喫茶店[きっさてん]
喫煙;喫煙[きつえん]
営む;営[いとな]む
営業;営業[えいぎょう]
営利;営利[えいり]
経営;経営[けいえい]
嗅ぐ;嗅[か]ぐ
嘆く;嘆[なげ]く
嘆かわしい;嘆[なげ]かわしい
悲嘆;悲嘆[ひたん]
感嘆;感嘆[かんたん]
嘲る;嘲[あざけ]る
噴き出す;噴き出[ふきだ]す
噴火;噴火[ふんか]
噴水;噴水[ふんすい]
囚人;囚人[しゅうじん]
死刑囚;死刑囚[しけいしゅう]
回る;回[まわ]る
回;回[かい]
因る;因[よ]る
因;因[いん]
原因;原因[げんいん]
団;団[だん]
団扇;団扇[うちわ]
布団;布団[ふとん]
団塊世代;団塊世代[だんかいせだい]
困る;困[こま]る
困難;困難[こんなん]
囲む;囲[かこ]む
範囲;範囲[はんい]
周囲;周囲[しゅうい]
雰囲気;雰囲気[ふんいき]
図;図[ず]
意図;意図[いと]
合図;合図[あいず]
指図;指図[さしず]
図示;図示[ずし]
地図;地図[ちず]
固い;固[かた]い
頑固;頑固[がんこ]
国;国[くに]
国民;国民[こくみん]
圏外;圏外[けんがい]
圏内;圏内[けんない]
首都圏;首都圏[しゅとけん]
成層圏;成層圏[せいそうけん]
北極圏;北極圏[ほっきょくけん]
園;園[えん]
花園;花園[はなぞの]
圧迫;圧迫[あっぱく]
気圧;気圧[きあつ]
抑圧;抑圧[よくあつ]
圭角;圭角[けいかく]
地域;地域[ちいき]
地域;地域[ちいき]
意地;意地[いじ]
地獄;地獄[じごく]
監獄;監獄[かんごく]
地球;地球[ちきゅう]
野球;野球[やきゅう]
坂;坂[さか]
坑道;坑道[こうどう]
廃坑;廃坑[はいこう]
坪;坪[つぼ]
垂れる;垂[た]れる
垂らす;垂[た]らす
垂直;垂直[すいちょく]
型;型[かた]
模型;模型[もけい]
埋める;埋[う]める
埋没;埋没[まいぼつ]
埋蔵;埋蔵[まいぞう]
城;城[しろ]
城下町;城下町[じょうかまち]
大阪城;大阪城[おおさかじょう]
執る;執[と]る
固執;固執[こしつ]
執行;執行[しっこう]
執筆;執筆[しっぴつ]
執念;執念[しゅうねん]
培う;培[つちか]う
栽培;栽培[さいばい]
培養;培養[ばいよう]
基づく;基[もと]づく
基礎;基礎[きそ]
基本;基本[きほん]
基準;基準[きじゅん]
基地;基地[きち]
基盤;基盤[きばん]
埼玉;埼玉[さいたま]
堀;堀[ほり]
堀江;堀江[ほりえ]
堀川;堀川[ほりかわ]
堅い;堅[かた]い
堅固;堅固[けんご]
中堅;中堅[ちゅうけん]
堆積;堆積[たいせき]
堕落;堕落[だらく]
堕胎;堕胎[だたい]
堤;堤[つつみ]
堤防;堤防[ていぼう]
堪える;堪[こた]える
堪らない;堪[たま]らない
持ち堪える;持ち堪[もちこた]える
堪能;堪能[たんのう]
報う;報[むく]う
報いる;報[むく]いる
報じる;報[ほう]じる
情報;情報[じょうほう]
報道;報道[ほうどう]
会報;会報[かいほう]
予報;予報[よほう]
報告;報告[ほうこく]
報酬;報酬[ほうしゅう]
吉報;吉報[きっぽう]
場所;場所[ばしょ]
工場;工場[こうじょう]
塀;塀[へい]
塁;塁[るい]
塊;塊[かたまり]
団塊;団塊[だんかい]
団塊世代;団塊世代[だんかいせだい]
金塊;金塊[きんかい]
塔;塔[とう]
エッフェル塔;エッフェル塔[えっふぇるとう]
塗る;塗[ぬ]る
塗装;塗装[とそう]
塗料;塗料[とりょう]
塚;塚[つか]
塞がる;塞[ふさ]がる
塞ぐ;塞[ふさ]ぐ
塩;塩[しお]
塩分;塩分[えんぶん]
食塩;食塩[しょくえん]
塩辛い;塩辛[しおから]い
填る;填[はま]る
充填;充填[じゅうてん]
塾;塾[じゅく]
境;境[さかい]
環境;環境[かんきょう]
境内;境内[けいだい]
境遇;境遇[きょうぐう]
墓;墓[はか]
墓地;墓地[ぼち]
増やす;増[ふ]やす
増す;増[ま]す
増加;増加[ぞうか]
墜落;墜落[ついらく]
失墜;失墜[しっつい]
撃墜;撃墜[げきつい]
墨;墨[すみ]
入れ墨;入れ墨[いれずみ]
墨刑;墨刑[ぼくけい]
壁;壁[かべ]
外壁;外壁[がいへき]
壁画;壁画[へきが]
壁面;壁面[へきめん]
障壁;障壁[しょうへき]
壊す;壊[こわ]す
壊れる;壊[こわ]れる
破壊;破壊[はかい]
壮大;壮大[そうだい]
壮烈;壮烈[そうれつ]
声;声[こえ]
音声;音声[おんせい]
歓声;歓声[かんせい]
声明;声明[せいめい]
壱;壱[いち]
売る;売[う]る
発売;発売[はつばい]
変;変[へん]
変わる;変[か]わる
変化;変化[へんか]
大変;大変[たいへん]
変体;変体[へんたい]
変貌;変貌[へんぼう]
容貌;容貌[ようぼう]
夏;夏[なつ]
夏季;夏季[かき]
外苑;外苑[がいえん]
御苑;御苑[ぎょえん]
夜;夜[よる]
今夜;今夜[こんや]
昨夜;昨夜[さくや]
深夜;深夜[しんや]
夜空;夜空[よぞら]
真夜中;真夜中[まよなか]
夢;夢[ゆめ]
夢中;夢中[むちゅう]
大;大[ダイ]
大きい;大[おお]きい
大尉;大尉[たいい]
中尉;中尉[ちゅうい]
少尉;少尉[しょうい]
大幅;大幅[おおはば]
振幅;振幅[しんぷく]
大抵;大抵[たいてい]
抵抗;抵抗[ていこう]
大統領;大統領[だいとうりょう]
領地;領地[りょうち]
占領;占領[せんりょう]
受領;受領[じゅりょう]
大臣;大臣[だいじん]
忠臣;忠臣[ちゅうしん]
大阪;大阪[おおさか]
大陸;大陸[たいりく]
陸軍;陸軍[りくぐん]
陸上;陸上[りくじょう]
天国;天国[てんごく]
天才;天才[てんさい]
天皇;天皇[てんのう]
皇太子;皇太子[こうたいし]
皇族;皇族[こうぞく]
太い;太[ふと]い
太鼓;太鼓[たいこ]
太陽;太陽[たいよう]
丸太;丸太[まるた]
夫;夫[おっと]
夫婦;夫婦[ふうふ]
丈夫;丈夫[じょうぶ]
失う;失[うしな]う
失くす;失[な]くす
失敗;失敗[しっぱい]
失踪;失踪[しっそう]
奇妙;奇妙[きみょう]
奇妙;奇妙[きみょう]
奇麗;奇麗[きれい]
華麗;華麗[かれい]
美辞麗句;美辞麗句[びじれいく]
奈良;奈良[なら]
奏でる;奏[かな]でる
演奏;演奏[えんそう]
合奏;合奏[がっそう]
伴奏;伴奏[ばんそう]
契約;契約[けいやく]
契機;契機[けいき]
奔走;奔走[ほんそう]
奔放;奔放[ほんぽう]
狂奔;狂奔[きょうほん]
奥さん;奥[おく]さん
山奥;山奥[やまおく]
奨学金;奨学金[しょうがくきん]
選奨;選奨[せんしょう]
奪う;奪[うば]う
強奪;強奪[ごうだつ]
略奪;略奪[りゃくだつ]
奮う;奮[ふる]う
興奮;興奮[こうふん]
奮発;奮発[ふんぱつ]
奴;奴[やつ]
奴隷;奴隷[どれい]
奴隷;奴隷[どれい]
好き;好[す]き
好む;好[この]む
好い;好[よ]い
愛好;愛好[あいこう]
格好;格好[かっこう]
如し;如[ごと]し
欠如;欠如[けつじょ]
如何;如何[どう]
如何;如何[いかが]
如何にも;如何[いか]にも
妄想;妄想[もうそう]
妊娠;妊娠[にんしん]
妊娠;妊娠[にんしん]
妖精;妖精[ようせい]
妖怪;妖怪[ようかい]
妥協;妥協[だきょう]
妨げる;妨[さまた]げる
妨害;妨害[ぼうがい]
妬む;妬[ねた]む
嫉妬;嫉妬[しっと]
妹;妹[いもうと]
姉妹;姉妹[しまい]
妻;妻[つま]
夫妻;夫妻[ふさい]
始まる;始[はじ]まる
始末;始末[しまつ]
終始;終始[しゅうし]
姫始め;姫始め[ひめはじ]
姓;姓[せい]
姓名;姓名[せいめい]
旧姓;旧姓[きゅうせい]
委ねる;委[ゆだ]ねる
委員;委員[いいん]
委嘱;委嘱[いしょく]
嘱託;嘱託[しょくたく]
嘱望;嘱望[しょくぼう]
嘱目;嘱目[しょくもく]
姫;姫[ひめ]
歌姫;歌姫[うたひめ]
姫始め;姫始め[ひめはじ]
姿;姿[すがた]
姿勢;姿勢[しせい]
威嚇;威嚇[いかく]
威張る;威張[いば]る
威勢;威勢[いせい]
威力;威力[いりょく]
娘;娘[むすめ]
孫娘;孫娘[まごむすめ]
娘婿;娘婿[むすめむこ]
娯楽;娯楽[ごらく]
婚姻;婚姻[こんいん]
婿;婿[むこ]
媒酌;媒酌[ばいしゃく]
媒介;媒介[ばいかい]
媛;媛[ひめ]
愛媛県;愛媛県[えひめけん]
嫁ぐ;嫁[とつ]ぐ
嫁;嫁[よめ]
転嫁;転嫁[てんか]
嫉妬;嫉妬[しっと]
嫌;嫌[いや]
嫌い;嫌[ぎら]い
嫌う;嫌[きら]う
嫌がる;嫌[いや]がる
機嫌;機嫌[きげん]
嫌悪;嫌悪[けんお]
嫡子;嫡子[ちゃくし]
嫡出;嫡出[ちゃくしゅつ]
孔;孔[あな]
鼻孔;鼻孔[びこう]
瞳孔拡張;瞳孔拡張[どうこうかくちょう]
字;字[じ]
存じる;存[ぞん]じる
存在;存在[そんざい]
存在;存在[そんざい]
滞在;滞在[たいざい]
季節;季節[きせつ]
季節;季節[きせつ]
節約;節約[せつやく]
節目;節目[ふしめ]
孤児;孤児[こじ]
孤独;孤独[こどく]
孤立;孤立[こりつ]
学ぶ;学[まな]ぶ
学生;学生[がくせい]
学校;学校[がっこう]
校舎;校舎[こうしゃ]
母校;母校[ぼこう]
高校;高校[こうこう]
孫;孫[まご]
子孫;子孫[しそん]
孫娘;孫娘[まごむすめ]
宅;宅[たく]
帰宅;帰宅[きたく]
自宅;自宅[じたく]
宅配;宅配[たくはい]
邸宅;邸宅[ていたく]
住宅;住宅[じゅうたく]
宇宙;宇宙[うちゅう]
宇宙;宇宙[うちゅう]
守る;守[まも]る
保守;保守[ほしゅ]
留守;留守[るす]
安い;安[やす]い
安心;安心[あんしん]
安泰;安泰[あんたい]
泰;泰[たい]
完全;完全[かんぜん]
完璧;完璧[かんぺき]
宗教;宗教[しゅうきょう]
宗派;宗派[しゅうは]
宗家;宗家[そうけ]
官僚;官僚[かんりょう]
官吏;官吏[かんり]
捕吏;捕吏[ほり]
定める;定[さだ]める
指定;指定[してい]
定規;定規[じょうぎ]
宛;宛[あて]
宛先;宛先[あてさき]
宛名;宛名[あてな]
宜しい;宜[よろ]しい
時宜;時宜[じぎ]
適宜;適宜[てきぎ]
便宜;便宜[べんぎ]
宝;宝[たから]
国宝;国宝[こくほう]
宝塚;宝塚[たからづか]
実;実[じつ]
実際;実際[じっさい]
誠実;誠実[せいじつ]
果実;果実[かじつ]
充実;充実[じゅうじつ]
実践;実践[じっせん]
実践;実践[じっせん]
客;客[きゃく]
旅客;旅客[りょかく]
宣伝;宣伝[せんでん]
室;室[しつ]
宮殿;宮殿[きゅうでん]
宮廷;宮廷[きゅうてい]
宮崎;宮崎[みやざき]
宮内庁;宮内庁[くないちょう]
宴;宴[うたげ]
宴会;宴会[えんかい]
宵;宵[よい]
家;家[いえ]
家事;家事[かじ]
家族;家族[かぞく]
民族;民族[みんぞく]
親族;親族[しんぞく]
水族館;水族館[すいぞくかん]
家畜;家畜[かちく]
畜産;畜産[ちくさん]
牧畜;牧畜[ぼくちく]
畜生;畜生[ちくしょう]
家賃;家賃[やちん]
賃金;賃金[ちんぎん]
賃借;賃借[ちんしゃく]
宿す;宿[やど]す
宿題;宿題[しゅくだい]
宿泊;宿泊[しゅくはく]
宿根;宿根[しゅっこん]
寂しい;寂[さび]しい
静寂;静寂[せいじゃく]
寄る;寄[よ]る
寄付;寄付[きふ]
寄附;寄附[きふ]
附属;附属[ふぞく]
寅;寅[とら]
密か;密[ひそ]か
秘密;秘密[ひみつ]
富;富[とみ]
富む;富[と]む
国富;国富[こくふ]
富士山;富士山[ふじさん]
寒い;寒[さむ]い
寒気;寒気[さむけ]
寒気;寒気[さむけ]
寛容;寛容[かんよう]
寛ぐ;寛[くつろ]ぐ
寝る;寝[ね]る
寝室;寝室[しんしつ]
寡婦;寡婦[かふ]
裸婦;裸婦[らふ]
主婦;主婦[しゅふ]
夫婦;夫婦[ふうふ]
娼婦;娼婦[しょうふ]
寡婦;寡婦[かふ]
寡黙;寡黙[かもく]
寧ろ;寧[むし]ろ
丁寧;丁寧[ていねい]
審議;審議[しんぎ]
審理;審理[しんり]
審判;審判[しんぱん]
審問;審問[しんもん]
陪審;陪審[ばいしん]
寮;寮[りょう]
寮生;寮生[りょうせい]
寸前;寸前[すんぜん]
一寸;一寸[ちょっと]
対;対[たい]
対して;対[たい]して
反対;反対[はんたい]
対象;対象[たいしょう]
絶対;絶対[ぜったい]
寿司;寿司[すし]
寿命;寿命[じゅみょう]
長寿;長寿[ちょうじゅ]
封筒;封筒[ふうとう]
封建主義;封建主義[ほうけんしゅぎ]
同封;同封[どうふう]
専門;専門[せんもん]
専ら;専[もっぱ]ら
射る;射[い]る
射す;射[さ]す
投射;投射[とうしゃ]
発射;発射[はっしゃ]
反射;反射[はんしゃ]
射止める;射止[いと]める
将来;将来[しょうらい]
将棋;将棋[しょうぎ]
将軍;将軍[しょうぐん]
将棋;将棋[しょうぎ]
尊敬;尊敬[そんけい]
尊ぶ;尊[とうと]ぶ
尊ぶ;尊[たっと]ぶ
尊重;尊重[そんちょう]
男尊女卑;男尊女卑[だんしょんじょひ]
尋ねる;尋[たず]ねる
尋問;尋問[じんもん]
尋常;尋常[じんじょう]
導く;導[みちび]く
主導;主導[しゅどう]
小舟;小舟[こぶね]
舟艇;舟艇[しゅうてい]
小銭;小銭[こぜに]
金銭;金銭[きんせん]
釣り銭;釣り銭[つりせん]
尚且つ;尚且[なおか]つ
尚;尚[なお]
高尚;高尚[こうしょう]
就く;就[つ]く
就職;就職[しゅうしょく]
就活;就活[しゅうかつ]
就職;就職[しゅうしょく]
尺;尺[しゃく]
尺度;尺度[しゃくど]
尺八;尺八[しゃくはち]
巻尺;巻尺[まきじゃく]
縮尺;縮尺[しゅくしゃく]
尼;尼[あま]
尼僧;尼僧[にそう]
尽くす;尽[つ]くす
尽力;尽力[じんりょく]
理不尽;理不尽[りふじん]
無尽蔵;無尽蔵[むじんぞう]
尾;尾[お]
尻尾;尻尾[しっぽ]
尾行;尾行[びこう]
尿;尿[にょう]
屎尿;屎尿[しにょう]
局;局[きょく]
結局;結局[けっきょく]
局員;局員[きょくいん]
時局;時局[じきょく]
居る;居[い]る
居場所;居場所[いばしょ]
隠居;隠居[いんきょ]
転居;転居[てんきょ]
同居;同居[どうきょ]
居心地;居心地[いごこち]
屈辱;屈辱[くつじょく]
侮辱;侮辱[ぶじょく]
届ける;届[とど]ける
屋根;屋根[やね]
部屋;部屋[へや]
本屋;本屋[ほんや]
屋外;屋外[おくがい]
屋上;屋上[おくじょう]
卸問屋;卸問屋[おろしどんや]
展示;展示[てんじ]
進展;進展[しんてん]
発展;発展[はってん]
展覧会;展覧会[てんらんかい]
伸展;伸展[しんてん]
総帆展帆;総帆展帆[そうはんてんぱん]
属する;属[ぞく]する
帰属;帰属[きぞく]
付属;付属[ふぞく]
金属;金属[きんぞく]
履く;履[は]く
草履;草履[ぞうり]
履歴;履歴[りれき]
履歴書;履歴書[りれきしょ]
履歴;履歴[りれき]
屯;屯[たむろ]
駐屯;駐屯[ちゅうとん]
山;山[やま]
火山;火山[かざん]
富士山;富士山[ふじさん]
山伏;山伏[やまぶし]
山荘;山荘[さんそう]
別荘;別荘[べっそう]
岐路;岐路[きろ]
岐阜;岐阜[ぎふ]
分岐;分岐[ぶんき]
岐阜;岐阜[ぎふ]
岡;岡[おか]
静岡;静岡[しずおか]
福岡;福岡[ふくおか]
岩;岩[いわ]
岩礁;岩礁[がんしょう]
粘板岩;粘板岩[ねんばんがん]
岩礁;岩礁[がんしょう]
サンゴ礁;サンゴ礁[さんごしょう]
岬;岬[みさき]
岳;岳[たけ]
山岳;山岳[さんがく]
岸;岸[きし]
岸辺;岸辺[きしべ]
沿岸;沿岸[えんがん]
海岸;海岸[かいがん]
西海岸;西海岸[にしかいがん]
岸壁;岸壁[がんぺき]
峠;峠[とうげ]
峰;峰[みね]
高峰;高峰[こうほう]
連峰;連峰[れんぽう]
島;島[しま]
崇拝;崇拝[すうはい]
崇高;崇高[すうこう]
崎;崎[さき]
宮崎;宮崎[みやざき]
崖;崖[がけ]
崩す;崩[くず]す
崩れる;崩[くず]れる
崩壊;崩壊[ほうかい]
嵐;嵐[あらし]
巡る;巡[めぐ]る
お巡りさん;お巡[まわ]りさん
巡航;巡航[じゅんこう]
巡洋艦;巡洋艦[じゅんようかん]
巣;巣[す]
卵巣;卵巣[らんそう]
左;左[ひだり]
左右;左右[さゆう]
左遷;左遷[させん]
遷都;遷都[せんと]
変遷;変遷[へんせん]
巧い;巧[たくみ]い
巧み;巧[たく]み
巧者;巧者[こうしゃ]
巧拙;巧拙[こうせつ]
巧妙;巧妙[こうみょう]
巧緻;巧緻[こうち]
緻密;緻密[ちみつ]
巨人;巨人[きょじん]
巨漢;巨漢[きょかん]
差す;差[さ]す
差別;差別[さべつ]
己;己[おのれ]
自己;自己[じこ]
克己;克己[こっき]
巳;巳[み]
巻く;巻[ま]く
巻;巻[まき]
巻末;巻末[かんまつ]
布布巾[ふきん];布[ぬの]布巾[ふきん]
布巾;布巾[ふきん]
雑巾;雑巾[ぞうきん]
帆;帆[ほ]
帆船;帆船[はんせん]
順風満帆;順風満帆[じゅんぷうまんぱん]
総帆展帆;総帆展帆[そうはんてんぱん]
帆前船;帆前船[ほまえせん]
希望;希望[きぼう]
希薄;希薄[きはく]
帝;帝[みかど]
皇帝;皇帝[こうてい]
帝闕;帝闕[ていてつ]
席;席[せき]
座席;座席[ざせき]
帯;帯[おび]
帯びる;帯[お]びる
携帯;携帯[けいたい]
地帯;地帯[ちたい]
帰る;帰[かえ]る
帰国;帰国[きこく]
常に;常[つね]に
非常;非常[ひじょう]
常識;常識[じょうしき]
日常;日常[にちじょう]
帽子;帽子[ぼうし]
幕;幕[まく]
字幕;字幕[じまく]
幕府;幕府[ばくふ]
干す;干[ほ]す
梅干;梅干[うめぼし]
干渉;干渉[かんしょう]
若干;若干[じゃっかん]
平ら;平[たい]ら
平気;平気[へいき]
平等;平等[びょうどう]
昌平;昌平[しょうへい]
平凡;平凡[へいぼん]
平均;平均[へいきん]
平衡;平衡[へいこう]
平和;平和[へいわ]
平穏;平穏[へいおん]
平均;平均[へいきん]
平壌;平壌[ぴょんやん・へいじょう]
土壌;土壌[どじょう]
平衡;平衡[へいこう]
均衡;均衡[きんこう]
年;年[とし]
去年;去年[きょねん]
今年;今年[ことし]
来年;来年[らいねん]
年賀状;年賀状[ねんがじょう]
祝賀;祝賀[しゅくが]
年齢;年齢[ねんれい]
幸;幸[さち]
幸い;幸[さいわ]い
幸福;幸福[こうふく]
幸運;幸運[こううん]
不幸;不幸[ふこう]
幸せ;幸[しあわ]せ
幹;幹[みき]
幹部;幹部[かんぶ]
新幹線;新幹線[しんかんせん]
根幹;根幹[こんかん]
幻;幻[まぼろし]
幻想;幻想[げんそう]
幻滅;幻滅[げんめつ]
夢幻;夢幻[むげん]
幻覚;幻覚[げんかく]
幻燈;幻燈[げんとう]
幼い;幼[おさな]い
幼児;幼児[ようじ]
幼稚園;幼稚園[ようちえん]
幼子;幼子[おさなご]
幼稚;幼稚[ようち]
稚拙;稚拙[ちせつ]
幽霊;幽霊[ゆうれい]
幽閉;幽閉[ゆうへい]
幾つ;幾[いく]つ
幾ら;幾[いく]ら
幾分;幾分[いくぶん]
幾何学;幾何学[きかがく]
庁;庁[ちょう]
広い;広[ひろ]い
広大;広大[こうだい]
床;床[ゆか]
病床;病床[びょうしょう]
床;床[とこ]
序でに;序[つい]でに
順序;順序[じゅんじょ]
序文;序文[じょぶん]
底;底[そこ]
到底;到底[とうてい]
徹底的;徹底的[てっていてき]
店;店[みせ]
店;店[テン]
度;度[ど]
座る;座[すわ]る
座席;座席[ざせき]
口座;口座[こうざ]
正座;正座[せいざ]
即座に;即座[そくざ]に
庭;庭[にわ]
家庭;家庭[かてい]
庶民;庶民[しょみん]
庶務;庶務[しょむ]
廃止;廃止[はいし]
全廃;全廃[ぜんぱい]
廃墟;廃墟[はいきょ]
廃絶;廃絶[はいぜつ]
退廃;退廃[たいはい]
廉価;廉価[れんか]
廉売;廉売[れんばい]
清廉;清廉[せいれん]
廉潔;廉潔[れんけつ]
廊下;廊下[ろうか]
画廊;画廊[がろう]
延長;延長[えんちょう]
延びる;延[の]びる
建物;建物[たてもの]
建築;建築[けんちく]
廿;廿[にじゅう]
弁;弁[べん]
弁解;弁解[べんかい]
弁当;弁当[べんとう]
弁護;弁護[べんご]
弄る;弄[いじく]る
翻弄;翻弄[ほんろう]
弐;弐[に]
弐つ;弐[ふた]つ
弓;弓[やみ]
弓道;弓道[きゅうどう]
弔う;弔[とむら]う
弔意;弔意[ちょうい]
弔電;弔電[ちょうでん]
弔問;弔問[ちょうもん]
慶弔;慶弔[けいちょう]
引く;引[ひ]く
引力;引力[いんりょく]
引退;引退[いんたい]
引用;引用[いんよう]
弘(人名用漢字);弘[ひろし](人名用漢字)
弟;弟[おとうと]
兄弟;兄弟[きょうだい]
弥生;弥生[やよい]
弦楽;弦楽[げんがく]
管弦楽;管弦楽[かんげんがく]
弱い;弱[よわ]い
弱者;弱者[じゃくしゃ]
薄弱;薄弱[はくじゃく]
強弱;強弱[きょうじゃく]
張る;張[は]る
頑張る;頑張[がんば]る
威張る;威張[いば]る
出張;出張[しゅっちょう]
強い;強[つよ]い
強いる;強[し]いる
強化;強化[きょうか]
強引;強引[ごういん]
強情;強情[ごうじょう]
弾;弾[たま]
弾く;弾[ひ]く
弾く;弾[はじ]く
弾む;弾[はず]む
爆弾;爆弾[ばくだん]
弾力;弾力[だんりょく]
弾丸;弾丸[だんがん]
弾劾;弾劾[だんがい]
当たる;当[あ]たる
当然;当然[とうぜん]
形;形[かたち]
円形;円形[えんけい]
彩る;彩[いろど]る
多彩;多彩[たさい]
彩色;彩色[さいしき]
彫る;彫[ほ]る
彫刻;彫刻[ちょうこく]
彫像;彫像[ちょうぞう]
彫塑;彫塑[ちょうそ]
影;影[かげ]
撮影;撮影[さつえい]
影響;影響[えいきょう]
面影;面影[おもかげ]
役;役[やく]
役立つ;役立[やくだ]つ
現役・;現役[げんえき]・
退役;退役[たいえき]
彼;彼[かれ]
彼女;彼女[かのじょ]
彼方;彼方[かなた]
往復;往復[おうふく]
往復;往復[おうふく]
回復;回復[かいふく]
復讐;復讐[ふくしゅう]
待つ;待[ま]つ
期待;期待[きたい]
後;後[こう]
以後;以後[いご]
後悔;後悔[こうかい]
老後;老後[ろうご]
後継;後継[こうけい]
徐行;徐行[じょこう]
徐々;徐々[じょじょ]
徒歩;徒歩[とほ]
生徒;生徒[せいと]
従う;従[したが]う
従来;従来[じゅうらい]
得る;得[え]る
得意;得意[とくい]
御;御[お・ご]
循環;循環[じゅんかん]
微か;微[かす]か
微笑む;微笑[ほほえ]む
微笑;微笑[びしょう]
顕微鏡;顕微鏡[けんびきょう]
徹す;徹[とお]す
徹する;徹[てっ]する
徹夜;徹夜[てつや]
徹底的;徹底的[てっていてき]
心;心[こころ]
関心;関心[かんしん]
必ず;必[かなら]ず
必死;必死[ひっし]
必要;必要[ひつよう]
必須;必須[ひっす]
必須条件;必須条件[ひっすじょうけん]
忌まわしい;忌[い]まわしい
忌避;忌避[きひ]
忌み嫌[きら]い;忌[い]み嫌[きら]い
三回忌;三回忌[さんかいき]
忍ぶ;忍[しの]ぶ
忍者;忍者[にんじゃ]
残忍;残忍[ざんにん]
志す;志[こころざ]す
意志;意志[いし]
忘れる;忘[わす]れる
忘却;忘却[ぼうきゃく]
忙しい;忙[いそが]しい
多忙;多忙[たぼう]
応える;応[こた]える
一応;一応[いちおう]
相応しい;相応[ふさわ]しい
応酬;応酬[おうしゅう]
報酬;報酬[ほうしゅう]
忠誠;忠誠[ちゅうせい]
快い;快[こころよ]い
愉快;愉快[ゆかい]
不快;不快[ふかい]
快感;快感[かいかん]
念;念[ねん]
残念;残念[ざんねん]
祈念;祈念[きねん]
記念碑;記念碑[きねんひ]
疑念;疑念[ぎねん]
概念;概念[がいねん]
怨念;怨念[おんねん]
懸念;懸念[けねん]
怒る;怒[おこ]る
怒り;怒[いか]り
怒鳴る;怒鳴[どな]る
怖い;怖[こわ]い
恐怖;恐怖[きょうふ]
思う;思[おも]う
意思;意思[いし]
怠惰;怠惰[たいだ]
怠い;怠[おこた]い
怠る;怠[おこた]る
怠ける;怠[なま]ける
怠惰;怠惰[たいだ]
惰性;惰性[だせい]
急ぐ;急[いそ]ぐ
急に;急[きゅう]に
性;性[せい]
異性;異性[いせい]
性的;性的[せいてき]
女性;女性[じょせい]
男性;男性[だんせい]
慢性;慢性[まんせい]
性格;性格[せいかく]
性分;性分[しょうぶん]
伴性遺伝;伴性遺伝[はんせいいいでん]
怨む;怨[うら]む
怨み;怨[うら]み
怨念;怨念[おんねん]
怨恨;怨恨[えんこん]
怨敵;怨敵[おんてき]
怪しい;怪[あや]しい
怪我;怪我[けが]
奇怪;奇怪[きかい]
怪物;怪物[かいぶつ]
怪しからん;怪[け]しからん
恋;恋[こい]
恋愛;恋愛[れんあい]
