厳しい;厳[きび]しい
以上;以上[いじょう]
以前;以前[いぜん]
仮;仮[かり]
仮名;仮名[かめい]
仮説;仮説[かせつ]
仰ぐ;仰[あお]ぐ
仰向け;仰向[あおむ]け
仰る;仰[おっしゃ]る
仰天;仰天[ぎょうてん]
信仰;信仰[しんこう]
仲間;仲間[なかま]
仲人;仲人[なこうど]
仲介;仲介[ちゅうかい]
任す;任[まか]す
責任;責任[せきにん]
担任;担任[たんにん]
企む;企[たくら]む
企てる企画[きかく];企[くわだ]てる企画[きかく]
伊呂波;伊呂波[いろは]
伊太利;伊太利[いたりあ]
伊勢;伊勢[いせ]
伏せる;伏[ふ]せる
起伏;起伏[きふく]
潜伏;潜伏[せんぷく]
降伏;降伏[こうふく]
山伏;山伏[やまぶし]
伐採;伐採[ばっさい]
間伐;間伐[かんばつ]
伐木;伐木[ばつぼく]
休む;休[やす]む
休憩;休憩[きゅうけい]
会う;会[あ]う
会議;会議[かいぎ]
会社;会社[かいしゃ]
会館;会館[かいかん]
旅館;旅館[りょかん]
映画館;映画館[えいがかん]
大使館;大使館[たいしかん]
博物館;博物館[はくぶつかん]
美術館;美術館[びじゅつかん]
伝える;伝[つた]える
手伝う;手伝[てつだ]う
伝説;伝説[でんせつ]
自伝;自伝[じでん]
伝統;伝統[でんとう]
伴性遺伝;伴性遺伝[はんせいいいでん]
伯;伯[はく]
伯爵;伯爵[はくしゃく]
伯父;伯父[おじ]
伯母;伯母[おば]
伯剌西爾;伯剌西爾[ブラジル]
伯爵;伯爵[はくしゃく]
伴;伴[とも]
伴う;伴[ともな]う
伴侶;伴侶[はんりょ]
伴奏;伴奏[ばんそう]
伴性遺伝;伴性遺伝[はんせいいいでん]
伸ばす;伸[の]ばす
欠伸;欠伸[あくび]
伸縮;伸縮[しんしゅく]
伸展;伸展[しんてん]
伺う;伺[うかが]う
似る;似[に]る
似合う;似合[にあ]う
類似;類似[るいじ]
但し;但[ただ]し
位置;位置[いち]
一位;一位[いちい]
低い;低[ひく]い
低下;低下[ていか]
最低;最低[さいてい]
住む;住[す]む
住所;住所[じゅうしょ]
体;体[からだ]
身体;身体[しんたい]
体力;体力[たいりょく]
何;何[なに]
余り;余[あま]り
余暇;余暇[よか]
余所;余所[よそ]
余計;余計[よけい]
余程;余程[よほど]
余裕;余裕[よゆう]
余裕;余裕[よゆう]
裕福;裕福[ゆうふく]
作る;作[つく]る
操作;操作[そうさ]
佳作;佳作[かさく]
発作;発作[ほっさ]
原作;原作[げんさく]
作品;作品[さくひん]
佳作;佳作[かさく]
佳境;佳境[かきょう]
佳例;佳例[かれい]
併せる;併[あわ]せる
合併;合併[がっぺい]
併用;併用[へいよう]
使う;使[つか]う
使用;使用[しよう]
例;例[れい]
例え;例[たと]え
侍;侍[さむらい]
侍女;侍女[じじょ]
侍従;侍従[じじゅう]
供える;供[そな]える
子供;子供[こども]
提供;提供[ていきょう]
依然;依然[いぜん]
依頼;依頼[いらい]
依ると;依[よ]ると
価値;価値[かち]
価格;価格[かかく]
単価;単価[たんか]
評価;評価[ひょうか]
侮る;侮[あなど]る
侮辱;侮辱[ぶじょく]
侮蔑;侮蔑[ぶべつ]
侯;侯[こう]
王侯;王侯[おうこう]
侯爵;侯爵[こうしゃく]
侵す;侵[おか]す
侵略;侵略[しんりゃく]
侵入;侵入[しんにゅう]
便;便[びん]
便り;便[たよ]り
便利;便利[べんり]
便所;便所[べんじょ]
穏便;穏便[おんびん]
小便;小便[しょうべん]
便箋;便箋[びんせん]
係わる;係[かか]わる
係り;係[かか]り
関係;関係[かんけい]
係長;係長[かかりちょう]
促す;促[うなが]す
促進;促進[そくしん]
催促;催促[さいそく]
促成;促成[そくせい]
督促;督促[とくそく]
俊彦(名）;俊彦[としひこ](名）
彦星;彦星[ひこぼし]
俊英;俊英[しゅんえい]
俊足;俊足[しゅんそく]
俗語;俗語[ぞくご]
風俗;風俗[ふうぞく]
民俗;民俗[みんぞく]
通俗的;通俗的[つうぞくてき]
保つ;保[たも]つ
保護;保護[ほご]
保障;保障[ほしょう]
保険;保険[ほけん]
保健;保健[ほけん]
保護;保護[ほご]
弁護;弁護[べんご]
信じる;信[しん]じる
信用;信用[しんよう]
信頼;信頼[しんらい]
信奉;信奉[しんぽう]
奉納;奉納[ほうのう]
鍋奉行;鍋奉行[なべぶぎょう]
修める;修[おさ]める
補修;補修[ほしゅう]
研修生;研修生[けんしゅうせい]
修正;修正[しゅうせい]
修復;修復[しゅうふく]
修士;修士[しゅうし]
俳句;俳句[はいく]
俳人;俳人[はいじん]
俳優;俳優[はいゆう]
俳諧;俳諧[はいかい]
俵;俵[たわら]
土俵;土俵[どひょう]
俸給;俸給[ほうきゅう]
年俸;年俸[ねんぽう]
減俸;減俸[げんぽう]
俺;俺[おれ]
倉;倉[くら]
倉庫;倉庫[そうこ]
倉庫;倉庫[そうこ]
倍;倍[ばい]
倍加;倍加[ばいか]
二倍;二倍[にばい]
倍増;倍増[ばいぞう]
倍率;倍率[ばいりつ]
倒す;倒[たお]す
圧倒;圧倒[あっとう]
面倒;面倒[めんどう]
借りる;借[か]りる
借金;借金[しゃっきん]
借款;借款[しゃっかん]
借款;借款[しゃっかん]
約款;約款[やっかん]
定款;定款[ていかん]
値;値[あたい]
価値;価値[かち]
数値;数値[すうち]
値段;値段[ねだん]
値上げ;値上[ねあ]げ
倫理;倫理[りんり]
不倫;不倫[ふりん]
新聞倫理綱領;新聞倫理綱領[しんぶんりんりこうりょう]
倹約;倹約[けんやく]
偉い;偉[えら]い
偉人;偉人[いじん]
偉大;偉大[いだい]
偉業;偉業[いぎょう]
偏る;偏[かたよ]る
偏見;偏見[へんけん]
偏向;偏向[へんこう]
停止;停止[ていし]
停車;停車[ていしゃ]
停電;停電[ていでん]
バス停;バス停[ばすてい]
健やか;健[すこ]やか
健康;健康[けんこう]
保健;保健[ほけん]
検診;検診[けんしん]
健康;健康[けんこう]
側;側[がわ]
側;側[そば]
内側;内側[うちがわ]
側面;側面[そくめん]
偶に;偶[たま]に
偶然;偶然[ぐうぜん]
偶数;偶数[ぐうすう]
偶詠;偶詠[ぐうえい]
偶然;偶然[ぐうぜん]
然し;然[しか]し
偽;偽[にせ]
偽る;偽[いつわ]る
偽者;偽者[にせもの]
虚偽;虚偽[きょぎ]
偽造;偽造[ぎぞう]
傍ら;傍[かたわ]ら
傍観;傍観[ぼうかん]
傍受;傍受[ぼうじゅ]
傍聴;傍聴[ぼうちょう]
傑作;傑作[けっさく]
豪傑;豪傑[ごうけつ]
傑出;傑出[けっしゅつ]
傘;傘[かさ]
傘下;傘下[さんか]
備える;備[そな]える
